ResourceGroup,ResourceGroupId,SubscriptionName,SubscriptionId,Resource,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
mc_evaluacion-aks-faas_clusteraks_eastus,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,aks-agentpool-13728160-vmss,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus/providers/microsoft.compute/virtualmachinescalesets/aks-agentpool-13728160-vmss,Virtual machine scale set,us east,"[""\""aks-managed-azure-cni-overlay\"":\""true\"""",""\""aks-managed-bootstrap-profile-acr-name\"":\"""",""\""aks-managed-consolidated-additional-properties\"":\""4c2e828d-4a82-11f1-9b57-9640e6c4f897\"""",""\""aks-managed-createoperationid\"":\""b53edddf-52a5-4eea-9de0-3709ce7317b5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-13728160-vmss\"""",""\""aks-managed-enable-imds-restriction\"":\""false\"""",""\""aks-managed-kubeletidentityclientid\"":\""b001f5c7-d6f9-4e57-97de-27d298f9db21\"""",""\""aks-managed-networkisolated-outbound-type\"":\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.34.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""33746408\"""",""\""aks-managed-saip-default-client-id\"":\"""",""\""aks-managed-ssh-access\"":\""localuser\"""",""\""compute.aks.billing\"":\""linux\""""]",0.632239742,0.632239742,USD
mc_evaluacion-aks-faas_clusteraks_eastus,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,kubernetes,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus/providers/microsoft.network/loadbalancers/kubernetes,Load balancer,us east,"[""\""aks-managed-cluster-name\"":\""clusteraks\"""",""\""aks-managed-cluster-rg\"":\""evaluacion-aks-faas\""""]",0.621412613,0.621412613,USD
mc_evaluacion-aks-faas_clusteraks_eastus,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,da0043b6-7006-4427-bc20-1839173ce6ba,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus/providers/microsoft.network/publicipaddresses/da0043b6-7006-4427-bc20-1839173ce6ba,Public IP address,us east,"[""\""aks-managed-cluster-name\"":\""clusteraks\"""",""\""aks-managed-cluster-rg\"":\""evaluacion-aks-faas\"""",""\""aks-managed-type\"":\""aks-slb-managed-outbound-ip\""""]",0.12,0.12,USD
mc_evaluacion-aks-faas_clusteraks_eastus,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,kubernetes-a722940a009e54fe28988cd9f0a571ea,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus/providers/microsoft.network/publicipaddresses/kubernetes-a722940a009e54fe28988cd9f0a571ea,Public IP address,us east,"[""\""aks-managed-cluster-name\"":\""clusteraks\"""",""\""aks-managed-cluster-rg\"":\""evaluacion-aks-faas\"""",""\""k8s-azure-cluster-name\"":\""kubernetes\"""",""\""k8s-azure-service\"":\""default/nginx-web-server-read\""""]",0.12,0.12,USD
mc_evaluacion-aks-faas_clusteraks_eastus,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,aks-agentpool-137281aks-agentpool-1372816os__1_1b4889a22ec54fa4946888c898e54d52,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus/providers/microsoft.compute/disks/aks-agentpool-137281aks-agentpool-1372816os__1_1b4889a22ec54fa4946888c898e54d52,Disk,us east,"[""\""aks-managed-azure-cni-overlay\"":\""true\"""",""\""aks-managed-bootstrap-profile-acr-name\"":\"""",""\""aks-managed-consolidated-additional-properties\"":\""4c2e828d-4a82-11f1-9b57-9640e6c4f897\"""",""\""aks-managed-createoperationid\"":\""b53edddf-52a5-4eea-9de0-3709ce7317b5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-13728160-vmss\"""",""\""aks-managed-enable-imds-restriction\"":\""false\"""",""\""aks-managed-kubeletidentityclientid\"":\""b001f5c7-d6f9-4e57-97de-27d298f9db21\"""",""\""aks-managed-networkisolated-outbound-type\"":\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.34.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""33746408\"""",""\""aks-managed-saip-default-client-id\"":\"""",""\""aks-managed-ssh-access\"":\""localuser\"""",""\""compute.aks.billing\"":\""linux\""""]",0.109432,0.109432,USD
mc_evaluacion-aks-faas_clusteraks_eastus,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,aks-agentpool-137281aks-agentpool-1372816os__1_b58574c802b34466b7757d8f5d8dad41,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus/providers/microsoft.compute/disks/aks-agentpool-137281aks-agentpool-1372816os__1_b58574c802b34466b7757d8f5d8dad41,Disk,us east,"[""\""aks-managed-azure-cni-overlay\"":\""true\"""",""\""aks-managed-bootstrap-profile-acr-name\"":\"""",""\""aks-managed-consolidated-additional-properties\"":\""4c2e828d-4a82-11f1-9b57-9640e6c4f897\"""",""\""aks-managed-createoperationid\"":\""b53edddf-52a5-4eea-9de0-3709ce7317b5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-13728160-vmss\"""",""\""aks-managed-enable-imds-restriction\"":\""false\"""",""\""aks-managed-kubeletidentityclientid\"":\""b001f5c7-d6f9-4e57-97de-27d298f9db21\"""",""\""aks-managed-networkisolated-outbound-type\"":\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.34.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""33746408\"""",""\""aks-managed-saip-default-client-id\"":\"""",""\""aks-managed-ssh-access\"":\""localuser\"""",""\""compute.aks.billing\"":\""linux\""""]",0.034476,0.034476,USD
mc_evaluacion-aks-faas_clusteraks_eastus,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,aks-agentpool-137281aks-agentpool-1372816os__1_13c5ef6ddf1a44db88e4671cfb25aeed,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/mc_evaluacion-aks-faas_clusteraks_eastus/providers/microsoft.compute/disks/aks-agentpool-137281aks-agentpool-1372816os__1_13c5ef6ddf1a44db88e4671cfb25aeed,Disk,us east,"[""\""aks-managed-azure-cni-overlay\"":\""true\"""",""\""aks-managed-bootstrap-profile-acr-name\"":\"""",""\""aks-managed-consolidated-additional-properties\"":\""4c2e828d-4a82-11f1-9b57-9640e6c4f897\"""",""\""aks-managed-createoperationid\"":\""b53edddf-52a5-4eea-9de0-3709ce7317b5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-13728160-vmss\"""",""\""aks-managed-enable-imds-restriction\"":\""false\"""",""\""aks-managed-kubeletidentityclientid\"":\""b001f5c7-d6f9-4e57-97de-27d298f9db21\"""",""\""aks-managed-networkisolated-outbound-type\"":\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.34.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""33746408\"""",""\""aks-managed-saip-default-client-id\"":\"""",""\""aks-managed-ssh-access\"":\""localuser\"""",""\""compute.aks.billing\"":\""linux\""""]",0.0064128,0.0064128,USD
evaluacion-aks-faas,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/evaluacion-aks-faas,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,imagesreadflow,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/evaluacion-aks-faas/providers/microsoft.containerregistry/registries/imagesreadflow,Container registry,us east,[],0.666605333,0.666605333,USD
evaluacion-aks-faas,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/evaluacion-aks-faas,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,evaluacionaksfaasa1df,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/evaluacion-aks-faas/providers/microsoft.storage/storageaccounts/evaluacionaksfaasa1df,Storage account,us east,[],0.117325982,0.117325982,USD
evaluacion-aks-faas,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/evaluacion-aks-faas,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,media-functions-app,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/evaluacion-aks-faas/providers/microsoft.web/sites/media-functions-app,App Service web app,us east,[],0,0,USD
defaultresourcegroup-eus,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/defaultresourcegroup-eus,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,defaultazuremonitorworkspace-eus,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/defaultresourcegroup-eus/providers/microsoft.monitor/accounts/defaultazuremonitorworkspace-eus,microsoft.monitor/accounts,us east,[],0.050063319,0.050063319,USD
defaultresourcegroup-ccan,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/defaultresourcegroup-ccan,Azure for Students,6d307ee8-05e5-4312-8210-dd93f1a9cbd8,defaultworkspace-6d307ee8-05e5-4312-8210-dd93f1a9cbd8-ccan,/subscriptions/6d307ee8-05e5-4312-8210-dd93f1a9cbd8/resourcegroups/defaultresourcegroup-ccan/providers/microsoft.operationalinsights/workspaces/defaultworkspace-6d307ee8-05e5-4312-8210-dd93f1a9cbd8-ccan,Log Analytics workspace,ca central,[],0,0,USD
