Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780617433,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780617434,10,,Aggregated,0.000000,0.000000,520,660,660,710,710,710,710,710,710,710,710,5,0,520,475.339718000032,173.37983299876214,713.7558430003992,12110.6
1780617435,20,,Aggregated,0.000000,0.000000,300,520,620,660,820,900,980,1000,1000,1000,1000,57,0,300,423.98494257877087,146.99199999813573,1019.51403899875,13842.561403508771
1780617436,30,,Aggregated,0.000000,0.000000,350,470,570,620,730,820,900,980,1000,1000,1000,101,0,350,423.96374601976095,146.99199999813573,1019.51403899875,12913.069306930693
1780617437,40,,Aggregated,5.000000,0.000000,440,580,660,730,900,1100,1300,1400,1900,1900,1900,149,0,440,517.3639746441382,146.99199999813573,1909.2146219991264,13194.832214765102
1780617438,50,,Aggregated,22.000000,0.000000,520,650,750,820,1000,1300,1400,1400,1900,1900,1900,193,0,520,581.7224181501405,146.99199999813573,1909.2146219991264,13625.264248704663
1780617439,60,,Aggregated,26.500000,0.000000,580,760,910,1000,1300,1400,1600,1700,1900,1900,1900,266,0,580,665.4479474585066,146.99199999813573,1909.2146219991264,13397.687969924813
1780617440,70,,Aggregated,31.800000,0.000000,600,760,910,1000,1300,1400,1600,1700,2200,2200,2200,305,0,600,681.0492107966251,146.99199999813573,2157.350800000131,13113.891803278688
1780617441,80,,Aggregated,34.166667,0.000000,660,920,1100,1200,1600,1900,2300,2400,2900,2900,2900,349,0,660,819.1387671001911,146.99199999813573,2860.8888180024223,13372.633237822349
1780617442,90,,Aggregated,39.285714,0.000000,720,1000,1200,1400,1900,2100,2400,2700,2900,2900,2900,405,0,720,895.9093826023571,146.99199999813573,2862.8468370006885,13580.577777777778
1780617443,100,,Aggregated,38.750000,0.000000,730,1000,1300,1400,1900,2200,2500,2800,2900,2900,2900,413,0,730,914.9244524599457,146.99199999813573,2924.6880390019214,13614.317191283293
1780617444,110,,Aggregated,40.111111,0.000000,780,1200,1500,1700,2300,2800,3100,3400,3800,3800,3800,448,0,780,1060.718474669565,146.99199999813573,3770.7256719986617,13702.859375
1780617445,120,,Aggregated,40.700000,0.000000,920,1400,1900,2200,2800,3100,3500,3700,4500,4500,4500,509,0,920,1255.4005258702348,146.99199999813573,4503.725063001184,13820.673870333989
