Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780605444,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780605445,10,,Aggregated,0.000000,0.000000,210,370,480,510,520,520,530,530,530,530,530,25,0,210,302.1040766002261,135.80192900190013,526.3009429982048,14819.28
1780605446,20,,Aggregated,0.000000,0.000000,230,460,510,520,610,820,840,940,940,940,940,51,0,230,346.12310098065575,135.80192900190013,937.7513590006856,15147.29411764706
1780605447,30,,Aggregated,0.000000,0.000000,470,580,710,800,940,1000,1400,1500,1500,1500,1500,73,0,470,495.3567130960188,135.80192900190013,1481.7292529987753,14357.04109589041
1780605448,40,,Aggregated,18.500000,0.000000,580,830,950,1100,1300,1500,1700,1700,1700,1700,1700,98,0,560,658.8663005307781,135.80192900190013,1710.7641440015868,13903.632653061224
1780605449,50,,Aggregated,19.333333,0.000000,770,990,1100,1300,1500,1700,2100,2200,2300,2300,2300,125,0,770,804.5435844561725,135.80192900190013,2264.6302050015947,13688.36
1780605450,60,,Aggregated,20.000000,0.000000,880,1100,1400,1500,1800,2100,2200,2400,2400,2400,2400,151,0,880,953.7637719405988,135.80192900190013,2411.8312780010456,14008.569536423842
1780605451,70,,Aggregated,20.400000,0.000000,1000,1400,1600,1700,2000,2200,2400,2800,3300,3300,3300,179,0,1000,1093.1325388548998,135.80192900190013,3343.769756000256,13608.340782122905
1780605452,80,,Aggregated,22.000000,0.000000,1100,1600,1700,1800,2200,2400,2800,3300,3800,3800,3800,242,0,1100,1212.8212696943517,135.80192900190013,3803.3868050006276,12958.851239669422
1780605453,90,,Aggregated,21.857143,0.000000,1200,1600,1700,1800,2200,2600,3200,3600,3800,3800,3800,292,0,1200,1265.7748806507454,135.80192900190013,3803.3868050006276,13368.763698630137
1780605454,100,,Aggregated,24.250000,0.000000,1300,1600,1700,1800,2200,2600,3200,3600,3800,3800,3800,334,0,1200,1295.6917791228009,135.80192900190013,3803.3868050006276,13317.928143712576
1780605455,100,,Aggregated,27.777778,0.000000,1300,1600,1800,1900,2200,2600,3200,3600,3800,3800,3800,365,0,1300,1342.0600768192546,135.80192900190013,3803.3868050006276,13377.386301369863
