Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780614911,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780614912,10,,Aggregated,0.000000,0.000000,220,320,390,400,470,470,470,470,470,470,470,29,0,220,272.2351480346145,138.04411800083471,472.87085599964485,12186.51724137931
1780614913,20,,Aggregated,0.000000,0.000000,290,350,400,420,470,580,670,790,790,790,790,85,0,290,312.3939797295059,138.04411800083471,787.3309469978267,12516.0
1780614914,30,,Aggregated,0.000000,0.000000,300,390,440,470,580,650,710,790,800,800,800,125,0,300,346.64630618394585,138.04411800083471,797.1271179994801,13360.0
1780614915,40,,Aggregated,15.500000,0.000000,360,470,590,650,1000,1200,1400,1500,1500,1500,1500,156,0,350,472.4384022947794,138.04411800083471,1470.7696190016577,13209.435897435897
1780614916,50,,Aggregated,30.333333,0.000000,410,580,740,870,1200,1400,1500,1500,1900,1900,1900,176,0,410,546.6167489089664,138.04411800083471,1917.246344997693,13160.517045454546
1780614917,60,,Aggregated,31.500000,0.000000,470,680,1000,1100,1500,1800,2200,2400,2500,2500,2500,201,0,470,682.2055456913906,138.04411800083471,2470.9812609980872,12832.696517412935
1780614918,70,,Aggregated,32.200000,0.000000,560,870,1100,1300,1800,2200,2600,3200,3500,3500,3500,225,0,560,805.1172680709957,138.04411800083471,3535.8700709984987,12746.191111111111
1780614919,80,,Aggregated,29.500000,0.000000,630,1100,1300,1500,2200,2600,3200,3500,4600,4600,4600,258,0,620,956.8524224146378,138.04411800083471,4577.907860999403,13566.116279069767
1780614920,90,,Aggregated,29.285714,0.000000,800,1300,1600,1800,2500,3200,3900,4300,4700,4700,4700,299,0,800,1127.7408131772063,138.04411800083471,4734.54938299983,13800.508361204013
1780614921,100,,Aggregated,28.750000,0.000000,870,1400,1700,2000,2700,3300,4000,4400,5300,5300,5300,317,0,870,1210.874893208123,138.04411800083471,5273.657688998355,13779.384858044165
1780614922,110,,Aggregated,29.000000,0.000000,1100,1600,2000,2300,2900,3500,4300,4600,5300,5300,5300,350,0,1100,1325.5870411485382,138.04411800083471,5273.657688998355,13582.982857142857
1780614923,120,,Aggregated,30.000000,0.000000,1200,1800,2200,2400,3000,3800,4500,4600,5700,5700,5700,387,0,1200,1459.1196129870677,138.04411800083471,5683.005909999338,13586.046511627907
1780614924,130,,Aggregated,30.000000,0.000000,1200,1800,2300,2400,3000,3800,4500,4600,5700,5700,5700,391,0,1200,1472.177811667508,138.04411800083471,5683.005909999338,13592.849104859335
1780614925,140,,Aggregated,32.600000,0.000000,1300,1900,2400,2600,3200,3900,4600,4700,7400,7400,7400,405,0,1300,1550.8373162370626,138.04411800083471,7405.153545001667,13565.192592592593
1780614926,150,,Aggregated,30.000000,0.000000,1500,2200,2600,2900,3800,4600,5800,6700,8000,8000,8000,444,0,1500,1781.4037924302186,138.04411800083471,8031.936272000166,13545.387387387387
1780614927,160,,Aggregated,27.500000,0.000000,1600,2400,2900,3200,4300,4800,6200,6700,8300,8300,8300,469,0,1600,1927.1066664797893,138.04411800083471,8333.967831000336,13570.643923240938
1780614928,170,,Aggregated,28.000000,0.000000,1700,2500,3000,3400,4600,5300,6700,7700,9100,9100,9100,499,0,1700,2070.4965684870303,138.04411800083471,9109.914036998816,13604.633266533066
1780614929,180,,Aggregated,28.800000,0.000000,1800,2600,3200,3500,4600,5500,6700,7700,9100,9100,9100,515,0,1800,2145.9629698951935,138.04411800083471,9109.914036998816,13686.683495145631
1780614930,190,,Aggregated,29.100000,0.000000,1900,2800,3400,3900,4800,5700,7600,8300,11000,11000,11000,547,0,1900,2313.8733191042597,138.04411800083471,11072.184485001344,13606.98171846435
1780614931,200,,Aggregated,28.100000,0.000000,2000,2900,3500,4000,4900,5700,7600,8300,11000,11000,11000,566,0,2000,2391.1955014558794,138.04411800083471,11072.184485001344,13539.628975265017
1780614932,210,,Aggregated,28.100000,0.000000,2300,3200,3900,4200,5100,6100,7900,9100,11000,11000,11000,618,0,2300,2560.4402845275645,138.04411800083471,11072.184485001344,13570.291262135923
1780614933,220,,Aggregated,25.900000,0.000000,2400,3300,4000,4300,5100,6200,8000,10000,14000,14000,14000,659,0,2400,2668.699076292953,138.04411800083471,13753.49371700213,13609.22913505311
1780614934,230,,Aggregated,28.800000,0.000000,2400,3300,4000,4300,5100,6400,8800,11000,14000,14000,14000,714,0,2400,2722.961523256386,138.04411800083471,13815.73662899973,13541.725490196079
1780614935,240,,Aggregated,29.700000,0.000000,2400,3300,4000,4300,5100,6700,9900,11000,14000,14000,14000,738,0,2400,2769.526473947239,138.04411800083471,13815.73662899973,13513.028455284553
1780614936,250,,Aggregated,31.400000,0.000000,2400,3400,4100,4400,5300,6800,10000,12000,15000,15000,15000,764,0,2400,2865.066093801132,138.04411800083471,14541.356304998772,13608.740837696336
1780614937,260,,Aggregated,33.100000,0.000000,2600,3500,4200,4500,5500,7600,11000,13000,15000,15000,15000,803,0,2600,3002.658629792104,138.04411800083471,14541.356304998772,13713.571606475716
